Date,Time,Day,Mouse,Hormone,Antibiotics,Full_Group,Weight_g
9/10/24,4:00 PM,D-2,704,PL,Non_ABX,PL_Non_ABX,21
9/11/24,12:00 PM,D-1,704,PL,Non_ABX,PL_Non_ABX,21.6
9/12/24,9:30 AM,D0,704,PL,Non_ABX,PL_Non_ABX,22.3
9/13/24,8:15 AM,D2,704,PL,Non_ABX,PL_Non_ABX,22.1
9/14/24,10:30 AM,D3,704,PL,Non_ABX,PL_Non_ABX,21.5
9/15/24,11:00 AM,D4,704,PL,Non_ABX,PL_Non_ABX,21.6
9/16/24,8:30 AM,D5,704,PL,Non_ABX,PL_Non_ABX,21.7
9/17/24,12:15 PM,D6,704,PL,Non_ABX,PL_Non_ABX,21.7
9/18/24,8:00 AM,D7,704,PL,Non_ABX,PL_Non_ABX,21.8
9/19/24,1:30 PM,D8,704,PL,Non_ABX,PL_Non_ABX,21.4
9/10/24,4:00 PM,D-2,705,PL,Non_ABX,PL_Non_ABX,18.3
9/11/24,12:00 PM,D-1,705,PL,Non_ABX,PL_Non_ABX,18.5
9/12/24,10:45 AM,D0,705,PL,Non_ABX,PL_Non_ABX,18.6
9/13/24,8:15 AM,D2,705,PL,Non_ABX,PL_Non_ABX,18.6
9/14/24,10:30 AM,D3,705,PL,Non_ABX,PL_Non_ABX,17.6
9/15/24,11:00 AM,D4,705,PL,Non_ABX,PL_Non_ABX,18.5
9/16/24,8:30 AM,D5,705,PL,Non_ABX,PL_Non_ABX,18.6
9/17/24,12:15 PM,D6,705,PL,Non_ABX,PL_Non_ABX,18.9
9/18/24,10:30 AM,D7,705,PL,Non_ABX,PL_Non_ABX,18.7
9/19/24,1:30 PM,D8,705,PL,Non_ABX,PL_Non_ABX,18.9
9/10/24,4:00 PM,D-2,706,PL,Non_ABX,PL_Non_ABX,20.8
9/11/24,12:00 PM,D-1,706,PL,Non_ABX,PL_Non_ABX,21.3
9/12/24,10:45 AM,D0,706,PL,Non_ABX,PL_Non_ABX,21.6
9/13/24,8:15 AM,D2,706,PL,Non_ABX,PL_Non_ABX,21
9/14/24,10:30 AM,D3,706,PL,Non_ABX,PL_Non_ABX,19.9
9/15/24,11:00 AM,D4,706,PL,Non_ABX,PL_Non_ABX,21.1
9/16/24,8:30 AM,D5,706,PL,Non_ABX,PL_Non_ABX,21.2
9/17/24,4:15 PM,D6,706,PL,Non_ABX,PL_Non_ABX,21.1
9/18/24,10:30 AM,D7,706,PL,Non_ABX,PL_Non_ABX,22.1
9/19/24,1:30 PM,D8,706,PL,Non_ABX,PL_Non_ABX,22.1
9/11/24,2:00 PM,D-4,711,PL,ABX,PL_ABX,15.2
9/12/24,2:15 PM,D-3,711,PL,ABX,PL_ABX,16.6
9/13/24,4:00 PM,D-2,711,PL,ABX,PL_ABX,17.4
9/14/24,12:15 PM,D-1,711,PL,ABX,PL_ABX,18
9/15/24,10:00 AM,D0,711,PL,ABX,PL_ABX,18.6
9/16/24,9:30 AM,D2,711,PL,ABX,PL_ABX,18.4
9/17/24,8:00 AM,D3 ,711,PL,ABX,PL_ABX,18.2
9/18/24,9:00 AM,D4,711,PL,ABX,PL_ABX,18.6
9/19/24,8:00 AM,D5,711,PL,ABX,PL_ABX,18
9/20/24,9:00 AM,D6,711,PL,ABX,PL_ABX,18.6
9/21/24,9:00 AM,D7,711,PL,ABX,PL_ABX,18.8
